,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6194486251999246,0.6194486251999246,28565406.89725072,"[None, None]","[None, None]",0.006908059264474131,"[None, None]",28565406.89725072,0.6194486251999246
ZAMS,1.0,1.0,17416330.788844757,"[None, None]","[None, None]",0.0042118442664509925,"[None, None]",28565406.89725072,0.6194486251999246
ZAMS_StellarMergerBeforeMT,0.029891619443258525,0.029891619443258525,520602.332038054,"[None, None]","[None, None]",0.00012589884596702342,"[None, None]",28565406.89725072,0.6194486251999246
ZAMS_MT1,0.5122645649204871,0.5122645649204871,8921769.114058843,"[None, None]","[None, None]",0.002157578570666366,"[None, None]",28565406.89725072,0.6194486251999246
MT1_StellarMerger1,0.28813129525889136,0.5624657940250359,5018189.948847149,"[None, None]","[None, None]",0.0012135641439212596,"[None, None]",28565406.89725072,0.6194486251999246
ZAMS_SN1,0.4578438156362554,0.4578438156362554,7973959.342747878,"[None, None]","[None, None]",0.001928366849817608,"[None, None]",28565406.89725072,0.6194486251999246
MT1_SN1,0.24308696056866938,0.47453401467735906,4233682.915718808,"[None, None]","[None, None]",0.0010238444211201486,"[None, None]",28565406.89725072,0.6194486251999246
SN1_Disbound1,0.5397942428362108,0.770110631692958,9401235.091149442,"[None, None]","[None, None]",0.0022735292867529493,"[None, None]",28565406.89725072,0.6194486251999246
SN1_Survive1,0.14218307343109188,0.20284895207615036,2476307.4394505005,"[None, None]","[None, None]",0.0005988529626171249,"[None, None]",28565406.89725072,0.6194486251999246
SN1_MT2,0.06751708411967951,0.09632489599791812,1175899.8709265955,"[None, None]","[None, None]",0.0002843714436369615,"[None, None]",28565406.89725072,0.6194486251999246
MT2_StellarMerger2,0.03137019199802175,0.4646259892150487,546353.6407471176,"[None, None]","[None, None]",0.0001321263633043347,"[None, None]",28565406.89725072,0.6194486251999246
SN1_SN2,0.0653145675849358,0.09318262202520305,1137540.114389599,"[None, None]","[None, None]",0.0002750947869983377,"[None, None]",28565406.89725072,0.6194486251999246
MT2_SN2,0.036147190216272065,0.5353784258840065,629551.4218938871,"[None, None]","[None, None]",0.0001522463358607189,"[None, None]",28565406.89725072,0.6194486251999246
SN2_Disbound2,0.04595728236824498,0.4529517659085728,800407.2318816973,"[None, None]","[None, None]",0.00019356491624436192,"[None, None]",28565406.89725072,0.6194486251999246
SN2_Survive2,0.05550401613961192,0.5470437073282325,966676.3051968594,"[None, None]","[None, None]",0.00023377427214262784,"[None, None]",28565406.89725072,0.6194486251999246
SN2_DCO,0.055329687212316375,0.5453255335938773,963640.1349330157,"[None, None]","[None, None]",0.00023304002584972154,"[None, None]",28565406.89725072,0.6194486251999246
DCO_Merges,0.005711741206520042,0.1032310409527963,99477.5742330283,"[None, None]","[None, None]",2.405696445213331e-05,"[None, None]",28565406.89725072,0.6194486251999246
DCO_NoMerger,0.04961794600579624,0.8967689590472021,864162.5606999858,"[None, None]","[None, None]",0.00020898306139758785,"[None, None]",28565406.89725072,0.6194486251999246
