,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6138504209362883,0.6138504209362883,25708354.06998912,"[None, None]","[None, None]",0.006200384655437986,"[None, None]",25708354.06998912,0.6138504209362883
ZAMS,1.0,1.0,15898555.5107026,"[None, None]","[None, None]",0.003834440717745691,"[None, None]",25708354.06998912,0.6138504209362883
ZAMS_StellarMergerBeforeMT,0.032752068731033056,0.032752068731033056,520710.5828106759,"[None, None]","[None, None]",0.0001255858659326786,"[None, None]",25708354.06998912,0.6138504209362883
ZAMS_MT1,0.4751518699986957,0.4751518699986957,7554228.381188409,"[None, None]","[None, None]",0.001821941677436006,"[None, None]",25708354.06998912,0.6138504209362883
MT1_StellarMerger1,0.3167910025313833,0.6667152599699395,5036519.339036326,"[None, None]","[None, None]",0.0012147163191218145,"[None, None]",25708354.06998912,0.6138504209362883
ZAMS_SN1,0.4920960612702722,0.4920960612702722,7823616.546703531,"[None, None]","[None, None]",0.0018869131743770103,"[None, None]",25708354.06998912,0.6138504209362883
MT1_SN1,0.182861681614244,0.3848489149684835,2907236.595924483,"[None, None]","[None, None]",0.0007011722776971058,"[None, None]",25708354.06998912,0.6138504209362883
SN1_Disbound1,0.3933263970973477,0.5827422549690556,6253321.558076836,"[None, None]","[None, None]",0.0015081867523942805,"[None, None]",25708354.06998912,0.6138504209362883
SN1_Survive1,0.2571305409561098,0.3809579839135261,4088004.1788877,"[None, None]","[None, None]",0.0009859518160180835,"[None, None]",25708354.06998912,0.6138504209362883
SN1_MT2,0.12324273012716568,0.1825932533205298,1959381.3862172833,"[None, None]","[None, None]",0.0004725669425657477,"[None, None]",25708354.06998912,0.6138504209362883
MT2_StellarMerger2,0.07799235649993862,0.6328353519876075,1239965.8092247809,"[None, None]","[None, None]",0.00029905706743630245,"[None, None]",25708354.06998912,0.6138504209362883
SN1_SN2,0.11427688636556078,0.16930969022917502,1816837.4214731213,"[None, None]","[None, None]",0.00043818794617730365,"[None, None]",25708354.06998912,0.6138504209362883
MT2_SN2,0.04525080761207887,0.3671681693953686,719422.4767247597,"[None, None]","[None, None]",0.00017351153921863188,"[None, None]",25708354.06998912,0.6138504209362883
SN2_Disbound2,0.07241345072728265,0.4539240110712844,1151269.266109231,"[None, None]","[None, None]",0.00027766508398116395,"[None, None]",25708354.06998912,0.6138504209362883
SN2_Survive2,0.08711396859613973,0.5460742672576339,1384986.2654833307,"[None, None]","[None, None]",0.0003340333482694576,"[None, None]",25708354.06998912,0.6138504209362883
SN2_DCO,0.08686892996137545,0.5445382415767346,1381090.5051462639,"[None, None]","[None, None]",0.0003330937621508966,"[None, None]",25708354.06998912,0.6138504209362883
DCO_Merges,0.009978964511141926,0.11487380488718896,158651.12121972116,"[None, None]","[None, None]",3.826374784246183e-05,"[None, None]",25708354.06998912,0.6138504209362883
DCO_NoMerger,0.07688996545023355,0.8851261951128114,1222439.3839265432,"[None, None]","[None, None]",0.0002948300143084349,"[None, None]",25708354.06998912,0.6138504209362883
