,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6104925878821971,0.6104925878821971,27841089.453253698,"[None, None]","[None, None]",0.006714857248477831,"[None, None]",27841089.453253698,0.6104925878821971
ZAMS,1.0,1.0,17611267.185720593,"[None, None]","[None, None]",0.004247576062548635,"[None, None]",27841089.453253698,0.6104925878821971
ZAMS_StellarMergerBeforeMT,0.02956527641502295,0.02956527641502295,520681.9823646527,"[None, None]","[None, None]",0.00012558076038308522,"[None, None]",27841089.453253698,0.6104925878821971
ZAMS_MT1,0.5176663806778701,0.5176663806778701,9116760.943182917,"[None, None]","[None, None]",0.0021988273269535103,"[None, None]",27841089.453253698,0.6104925878821971
MT1_StellarMerger1,0.31919373071316776,0.6166012370654479,5621406.075596547,"[None, None]","[None, None]",0.0013557996498928465,"[None, None]",27841089.453253698,0.6104925878821971
ZAMS_SN1,0.4527683429071068,0.4527683429071068,7973824.26017302,"[None, None]","[None, None]",0.0019231679752120393,"[None, None]",27841089.453253698,0.6104925878821971
MT1_SN1,0.20231149230454676,0.3908144315642545,3562961.7457172284,"[None, None]","[None, None]",0.0008593334518912852,"[None, None]",27841089.453253698,0.6104925878821971
SN1_Disbound1,0.5187575371525275,0.7918997185815057,9135977.59139954,"[None, None]","[None, None]",0.0022034620970757604,"[None, None]",27841089.453253698,0.6104925878821971
SN1_Survive1,0.13248345571928227,0.2022401676834968,2333201.536359863,"[None, None]","[None, None]",0.0005627335551969454,"[None, None]",27841089.453253698,0.6104925878821971
SN1_MT2,0.05846620601094943,0.08925050485191512,1029663.9753942138,"[None, None]","[None, None]",0.00024833965712014593,"[None, None]",27841089.453253698,0.6104925878821971
MT2_StellarMerger2,0.028515925329594204,0.4877334664789742,502201.5800275411,"[None, None]","[None, None]",0.00012112356183140865,"[None, None]",27841089.453253698,0.6104925878821971
SN1_SN2,0.06474790323145829,0.0988397134992539,1140292.6235243937,"[None, None]","[None, None]",0.0002750216438661577,"[None, None]",27841089.453253698,0.6104925878821971
MT2_SN2,0.029951178335550114,0.512281886906445,527478.2041945392,"[None, None]","[None, None]",0.00012721990814320793,"[None, None]",27841089.453253698,0.6104925878821971
SN2_Disbound2,0.04876174986743022,0.5149125953552864,858756.2053585893,"[None, None]","[None, None]",0.0002071192415048807,"[None, None]",27841089.453253698,0.6104925878821971
SN2_Survive2,0.04593723139837308,0.48508634548760915,809012.8559290215,"[None, None]","[None, None]",0.00019512188446748707,"[None, None]",27841089.453253698,0.6104925878821971
SN2_DCO,0.045721777380569324,0.48281120179837184,805218.4376552426,"[None, None]","[None, None]",0.00019420672713888393,"[None, None]",27841089.453253698,0.6104925878821971
DCO_Merges,0.0056423549846122256,0.12340629144067555,99369.0211906883,"[None, None]","[None, None]",2.3966331969040863e-05,"[None, None]",27841089.453253698,0.6104925878821971
DCO_NoMerger,0.04007942239595717,0.876593708559326,705849.4164645555,"[None, None]","[None, None]",0.00017024039516984335,"[None, None]",27841089.453253698,0.6104925878821971
