,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6009580672561253,0.6009580672561253,26135998.883156523,"[None, None]","[None, None]",0.006296833736403675,"[None, None]",26135998.883156523,0.6009580672561253
ZAMS,1.0,1.0,17201519.790131383,"[None, None]","[None, None]",0.004144288137451635,"[None, None]",26135998.883156523,0.6009580672561253
ZAMS_StellarMergerBeforeMT,0.03036656254429438,0.03036656254429438,522351.0265639422,"[None, None]","[None, None]",0.00012584778492750234,"[None, None]",26135998.883156523,0.6009580672561253
ZAMS_MT1,0.5057786389001006,0.5057786389001006,8700161.266465794,"[None, None]","[None, None]",0.0020960924133701206,"[None, None]",26135998.883156523,0.6009580672561253
MT1_StellarMerger1,0.2432233915844321,0.4808890152287998,4183811.9837624836,"[None, None]","[None, None]",0.0010079878164941157,"[None, None]",26135998.883156523,0.6009580672561253
ZAMS_SN1,0.46385479855560546,0.46385479855560546,7979007.497101653,"[None, None]","[None, None]",0.0019223479391540135,"[None, None]",26135998.883156523,0.6009580672561253
MT1_SN1,0.27254271930879326,0.538857710364128,4688148.97984643,"[None, None]","[None, None]",0.0011294955585802425,"[None, None]",26135998.883156523,0.6009580672561253
SN1_Disbound1,0.5897032166551193,0.800794682694337,10143791.551597169,"[None, None]","[None, None]",0.002443900045400882,"[None, None]",26135998.883156523,0.6009580672561253
SN1_Survive1,0.13670734155608247,0.18564340351464326,2351574.041233203,"[None, None]","[None, None]",0.0005665546139134214,"[None, None]",26135998.883156523,0.6009580672561253
SN1_MT2,0.05948985774600934,0.08078497863291795,1023315.9653300804,"[None, None]","[None, None]",0.00024654311175547174,"[None, None]",26135998.883156523,0.6009580672561253
MT2_StellarMerger2,0.020386841386078644,0.3426944047020557,350684.65556090133,"[None, None]","[None, None]",8.448894491643378e-05,"[None, None]",26135998.883156523,0.6009580672561253
SN1_SN2,0.0677573077171196,0.0920118632577961,1165528.6696220548,"[None, None]","[None, None]",0.0002808058065977189,"[None, None]",26135998.883156523,0.6009580672561253
MT2_SN2,0.03960469023498219,0.6657385264572923,681260.8628590693,"[None, None]","[None, None]",0.0001641332479282833,"[None, None]",26135998.883156523,0.6009580672561253
SN2_Disbound2,0.05161251842081819,0.4807335873522444,887813.7570342246,"[None, None]","[None, None]",0.0002138971478354008,"[None, None]",26135998.883156523,0.6009580672561253
SN2_Survive2,0.055748733511835964,0.5192594640117222,958962.9427786069,"[None, None]","[None, None]",0.0002310388149710542,"[None, None]",26135998.883156523,0.6009580672561253
SN2_DCO,0.055731744296967575,0.5191012216616127,958670.7024628295,"[None, None]","[None, None]",0.00023096840676941051,"[None, None]",26135998.883156523,0.6009580672561253
DCO_Merges,0.007745185418563391,0.13897260019878502,133228.9602556552,"[None, None]","[None, None]",3.209828005251564e-05,"[None, None]",26135998.883156523,0.6009580672561253
DCO_NoMerger,0.047986558878404105,0.8610273998012136,825441.742207173,"[None, None]","[None, None]",0.00019887012671689457,"[None, None]",26135998.883156523,0.6009580672561253
