,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6223873750666739,0.6223873750666739,29483821.81537312,"[None, None]","[None, None]",0.007042631152422419,"[None, None]",29483821.81537312,0.6223873750666739
ZAMS,1.0,1.0,17776059.895959802,"[None, None]","[None, None]",0.004246065315906164,"[None, None]",29483821.81537312,0.6223873750666739
ZAMS_StellarMergerBeforeMT,0.02929833406997564,0.02929833406997564,520808.9412797267,"[None, None]","[None, None]",0.00012440264010835545,"[None, None]",29483821.81537312,0.6223873750666739
ZAMS_MT1,0.5219599071609579,0.5219599071609579,9278390.572982805,"[None, None]","[None, None]",0.002216275858089745,"[None, None]",29483821.81537312,0.6223873750666739
MT1_StellarMerger1,0.34111002212412805,0.6535176695457171,6063592.184390673,"[None, None]","[None, None]",0.0014483754338492445,"[None, None]",29483821.81537312,0.6223873750666739
ZAMS_SN1,0.44874175876906675,0.44874175876906675,7976860.381697275,"[None, None]","[None, None]",0.0019053868177080651,"[None, None]",29483821.81537312,0.6223873750666739
MT1_SN1,0.1819522039606188,0.34859421473632424,3234393.2758058542,"[None, None]","[None, None]",0.0007725809423898678,"[None, None]",29483821.81537312,0.6223873750666739
SN1_Disbound1,0.4996639912342667,0.7922447664976648,8882057.036034659,"[None, None]","[None, None]",0.0021216059427870615,"[None, None]",29483821.81537312,0.6223873750666739
SN1_Survive1,0.12992765257162928,0.20600744616183375,2309601.734254738,"[None, None]","[None, None]",0.0005516812991615015,"[None, None]",29483821.81537312,0.6223873750666739
SN1_MT2,0.05680702941590826,0.09007067258110993,1009805.1574087356,"[None, None]","[None, None]",0.00024120635730254928,"[None, None]",29483821.81537312,0.6223873750666739
MT2_StellarMerger2,0.03171884775874205,0.5583613169862301,563836.137590229,"[None, None]","[None, None]",0.0001346802993289026,"[None, None]",29483821.81537312,0.6223873750666739
SN1_SN2,0.06390784207285435,0.10132940197533673,1136029.6285085988,"[None, None]","[None, None]",0.0002713568716399556,"[None, None]",29483821.81537312,0.6223873750666739
MT2_SN2,0.02509125740191279,0.4416928267487654,446023.69444134645,"[None, None]","[None, None]",0.0001065391177867357,"[None, None]",29483821.81537312,0.6223873750666739
SN2_Disbound2,0.046610279812008146,0.5237163082220061,828547.1257057028,"[None, None]","[None, None]",0.0001979102924744491,"[None, None]",29483821.81537312,0.6223873750666739
SN2_Survive2,0.042388723807066805,0.47628261473684647,753504.4933077168,"[None, None]","[None, None]",0.00017998528994271227,"[None, None]",29483821.81537312,0.6223873750666739
SN2_DCO,0.04216916276796038,0.47381561180757886,749601.5631257418,"[None, None]","[None, None]",0.00017905301942983817,"[None, None]",29483821.81537312,0.6223873750666739
DCO_Merges,0.003144929949573271,0.07457890418357441,55904.4631522123,"[None, None]","[None, None]",1.3353577979837587e-05,"[None, None]",29483821.81537312,0.6223873750666739
DCO_NoMerger,0.039024232818387086,0.925421095816425,693697.099973529,"[None, None]","[None, None]",0.00016569944145000047,"[None, None]",29483821.81537312,0.6223873750666739
