,rates,rel_rates,counts,cee_rates,cee_rel_rates,rate_per_mass,cee_rate_per_mass,wd_count,wd_factor
WD,0.6064022038173135,0.6064022038173135,26823469.565936178,"[None, None]","[None, None]",0.006458622067761119,"[None, None]",26823469.565936178,0.6064022038173135
ZAMS,1.0,1.0,17267542.024006702,"[None, None]","[None, None]",0.004157721941902329,"[None, None]",26823469.565936178,0.6064022038173135
ZAMS_StellarMergerBeforeMT,0.030103784585925424,0.030103784585925424,519818.36541911244,"[None, None]","[None, None]",0.00012516316570720324,"[None, None]",26823469.565936178,0.6064022038173135
ZAMS_MT1,0.5083201122837804,0.5083201122837804,8777438.900507983,"[None, None]","[None, None]",0.0021134536843525295,"[None, None]",26823469.565936178,0.6064022038173135
MT1_StellarMerger1,0.2928855944000658,0.5761833681618252,5057414.309529318,"[None, None]","[None, None]",0.0012177368623042593,"[None, None]",26823469.565936178,0.6064022038173135
ZAMS_SN1,0.4615761031302923,0.4615761031302923,7970284.7580795735,"[None, None]","[None, None]",0.0019191050918425886,"[None, None]",26823469.565936178,0.6064022038173135
MT1_SN1,0.23799612034654483,0.4682012664761108,4109608.0096345195,"[None, None]","[None, None]",0.0009895216916524568,"[None, None]",26823469.565936178,0.6064022038173135
SN1_Disbound1,0.5399638182277922,0.7718485670345803,9323847.922691517,"[None, None]","[None, None]",0.002245019414879052,"[None, None]",26823469.565936178,0.6064022038173135
SN1_Survive1,0.13704688220707553,0.1959009772085571,2366462.7977697733,"[None, None]","[None, None]",0.0005698028292216619,"[None, None]",26823469.565936178,0.6064022038173135
SN1_MT2,0.06113438872801588,0.08738824481078045,1055640.6264729758,"[None, None]","[None, None]",0.00025417978941925804,"[None, None]",26823469.565936178,0.6064022038173135
MT2_StellarMerger2,0.026203613444944904,0.4286231365054387,452471.9963414132,"[None, None]","[None, None]",0.00010894733857717431,"[None, None]",26823469.565936178,0.6064022038173135
SN1_SN2,0.06631294430373763,0.09479070505996616,1145061.5525004053,"[None, None]","[None, None]",0.000275710783563797,"[None, None]",26823469.565936178,0.6064022038173135
MT2_SN2,0.03493088256424416,0.5713786183362375,603170.4826137291,"[None, None]","[None, None]",0.00014523289688737147,"[None, None]",26823469.565936178,0.6064022038173135
SN2_Disbound2,0.05163217847771683,0.5099785347411184,891560.8116549898,"[None, None]","[None, None]",0.00021467224136502048,"[None, None]",26823469.565936178,0.6064022038173135
SN2_Survive2,0.04961098063858721,0.4900148697784616,856659.6930289875,"[None, None]","[None, None]",0.00020626866276034567,"[None, None]",26823469.565936178,0.6064022038173135
SN2_DCO,0.049379847253629955,0.48773193172576784,852668.5875910872,"[None, None]","[None, None]",0.00020530767441420274,"[None, None]",26823469.565936178,0.6064022038173135
DCO_Merges,0.00723375036315634,0.1464919550277584,124909.08838697584,"[None, None]","[None, None]",3.0075922607139056e-05,"[None, None]",26823469.565936178,0.6064022038173135
DCO_NoMerger,0.04214609689047356,0.8535080449722404,727759.4992041104,"[None, None]","[None, None]",0.00017523175180706344,"[None, None]",26823469.565936178,0.6064022038173135
